meal_id,week,num_orders,checkout_price,base_price,emailer_for_promotion,homepage_featured,category,cuisine,price_ratio,price_discount,selling_price,unit_cost,holding_cost,shortage_cost,shelf_life_weeks,week_of_year
1062,1,28943,176.2027272727273,176.2027272727273,0,0,Beverages,Italian,1.0,0.0,176.2,70.48,3.524,88.1,2,1
1062,2,26695,180.71064935064933,180.84051948051948,0,0,Beverages,Italian,0.9993,0.13,180.71,72.28,3.614,90.36,2,2
1062,3,27844,180.4992207792208,180.5381818181818,0,0,Beverages,Italian,0.9998,0.04,180.5,72.2,3.61,90.25,2,3
1062,4,31144,180.66415584415583,180.70311688311688,0,0,Beverages,Italian,0.9998,0.04,180.66,72.27,3.614,90.33,2,4
1062,5,29324,175.26381578947368,176.3753947368421,0,0,Beverages,Italian,0.9937,1.11,175.26,70.11,3.506,87.63,2,5
1062,6,36095,157.74276315789476,172.17907894736842,0,0,Beverages,Italian,0.9162,14.44,157.74,63.1,3.155,78.87,2,6
1062,7,39885,158.77973684210528,170.51710526315787,0,1,Beverages,Italian,0.9312,11.74,158.78,63.51,3.176,79.39,2,7
1062,8,35933,158.9951315789474,169.5080263157895,0,0,Beverages,Italian,0.938,10.51,159.0,63.6,3.18,79.5,2,8
1062,9,39054,158.5963157894737,168.5048684210526,0,0,Beverages,Italian,0.9412,9.91,158.6,63.44,3.172,79.3,2,9
1062,10,38642,159.39,168.74578947368423,0,0,Beverages,Italian,0.9446,9.36,159.39,63.76,3.188,79.69,2,10
1062,11,39063,159.58973684210525,167.9528947368421,0,0,Beverages,Italian,0.9502,8.36,159.59,63.84,3.192,79.79,2,11
1062,12,31458,176.43276315789473,176.41960526315788,0,0,Beverages,Italian,1.0001,-0.01,176.43,70.57,3.528,88.22,2,12
1062,13,25897,180.31592105263158,179.93434210526317,0,0,Beverages,Italian,1.0021,-0.38,180.32,72.13,3.606,90.16,2,13
1062,14,22265,179.69855263157896,179.6853947368421,0,0,Beverages,Italian,1.0001,-0.01,179.7,71.88,3.594,89.85,2,14
1062,15,24316,180.0953947368421,180.16486842105263,0,0,Beverages,Italian,0.9996,0.07,180.1,72.04,3.602,90.05,2,15
1062,16,23879,180.3371052631579,180.25815789473685,0,0,Beverages,Italian,1.0004,-0.08,180.34,72.13,3.606,90.17,2,16
1062,17,38622,159.24842105263158,179.25144736842105,1,1,Beverages,Italian,0.8884,20.0,159.25,63.7,3.185,79.62,2,17
1062,18,37932,158.30236842105262,179.08671052631578,1,1,Beverages,Italian,0.8839,20.78,158.3,63.32,3.166,79.15,2,18
1062,19,40004,158.50973684210527,177.92565789473684,0,1,Beverages,Italian,0.8909,19.42,158.51,63.4,3.17,79.25,2,19
1062,20,38499,158.79013157894738,177.4753947368421,0,1,Beverages,Italian,0.8947,18.69,158.79,63.52,3.176,79.4,2,20
1062,21,44479,158.84039473684211,176.79973684210526,0,1,Beverages,Italian,0.8984,17.96,158.84,63.54,3.177,79.42,2,21
1062,22,43709,159.38118421052633,176.31078947368422,0,1,Beverages,Italian,0.904,16.93,159.38,63.75,3.188,79.69,2,22
1062,23,44539,159.5482894736842,175.47,0,1,Beverages,Italian,0.9093,15.92,159.55,63.82,3.191,79.77,2,23
1062,24,29212,176.4575,176.36539473684212,0,1,Beverages,Italian,1.0005,-0.09,176.46,70.58,3.529,88.23,2,24
1062,25,31353,180.1588157894737,180.02723684210525,0,1,Beverages,Italian,1.0007,-0.13,180.16,72.06,3.603,90.08,2,25
1062,26,33708,179.9657894736842,179.97894736842105,0,0,Beverages,Italian,0.9999,0.01,179.97,71.99,3.6,89.98,2,26
1062,27,32576,179.69460526315788,179.49723684210525,0,0,Beverages,Italian,1.0011,-0.2,179.69,71.88,3.594,89.85,2,27
1062,28,31618,180.1444736842105,180.03921052631577,0,0,Beverages,Italian,1.0006,-0.11,180.14,72.06,3.603,90.07,2,28
1062,29,32685,176.38855263157896,176.57276315789474,0,0,Beverages,Italian,0.999,0.18,176.39,70.56,3.528,88.19,2,29
1062,30,43038,159.32766233766233,171.16532467532468,0,0,Beverages,Italian,0.9308,11.84,159.33,63.73,3.186,79.66,2,30
1062,31,41111,158.1896103896104,169.53753246753246,0,0,Beverages,Italian,0.9331,11.35,158.19,63.28,3.164,79.09,2,31
1062,32,50624,157.8235064935065,169.61584415584414,1,1,Beverages,Italian,0.9305,11.79,157.82,63.13,3.157,78.91,2,32
1062,33,42028,158.69662337662336,168.89818181818183,0,1,Beverages,Italian,0.9396,10.2,158.7,63.48,3.174,79.35,2,33
1062,34,40811,158.68051948051948,168.62259740259742,0,1,Beverages,Italian,0.941,9.94,158.68,63.47,3.174,79.34,2,34
1062,35,40486,159.5009090909091,169.0466233766234,0,1,Beverages,Italian,0.9435,9.55,159.5,63.8,3.19,79.75,2,35
1062,36,42639,158.93129870129872,168.59272727272727,0,0,Beverages,Italian,0.9427,9.66,158.93,63.57,3.178,79.47,2,36
1062,37,29668,177.38454545454547,177.68324675324675,0,0,Beverages,Italian,0.9983,0.3,177.38,70.95,3.548,88.69,2,37
1062,38,29807,180.15155844155845,180.15155844155845,0,0,Beverages,Italian,1.0,0.0,180.15,72.06,3.603,90.08,2,38
1062,39,32766,180.16064935064935,180.2255844155844,0,0,Beverages,Italian,0.9996,0.06,180.16,72.06,3.603,90.08,2,39
1062,40,32592,179.84337662337663,179.85636363636365,0,0,Beverages,Italian,0.9999,0.01,179.84,71.94,3.597,89.92,2,40
1062,41,34062,179.63272727272727,179.50285714285712,0,0,Beverages,Italian,1.0007,-0.13,179.63,71.85,3.592,89.82,2,41
1062,42,30989,180.21103896103895,180.19805194805195,0,0,Beverages,Italian,1.0001,-0.01,180.21,72.08,3.604,90.11,2,42
1062,43,31137,180.15948051948052,180.10753246753248,0,0,Beverages,Italian,1.0003,-0.05,180.16,72.06,3.603,90.08,2,43
1062,44,33788,178.95090909090908,178.82103896103897,0,0,Beverages,Italian,1.0007,-0.13,178.95,71.58,3.579,89.48,2,44
1062,45,39647,168.5931168831169,178.88987012987013,0,0,Beverages,Italian,0.9424,10.3,168.59,67.44,3.372,84.3,2,45
1062,46,38049,168.26987012987013,178.617012987013,0,0,Beverages,Italian,0.9421,10.35,168.27,67.31,3.366,84.13,2,46
